,EventName,Date,City/Country,Exhibits,URL
0,BIOFACH America Latina,"September  8, 2021 - September  9, 2021",San Paulo(Sao Paulo) Brazil Central and South America,"BIO FOODS: Juices and beverages, chocolates, milk, dairy and eggs, honey and derivatives, fruit and vegetables, breads, pastas, cakes and biscuits, fresh organic foods, meat, coffee, frozen foods, gluten-free and lactose-free foods. BIO FASHION: Bio jewelry, clothing, fabrics and accessories. BIO COSMETICS AND HYGIENE: Aromas and essences, creams, shampoos, soaps, tonics, raw materials, makeup, cleaning products.BIO PRODUCTION AND SERVICES: Inputs and fertilizers, equipment and machinery, certifiers, publishers, consulting, packaging, transport and solar energy, among others.",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/119290
1,APAS 2021 ( Canceled),"May 17, 2021 - May 20, 2021",San Paulo(Sao Paulo) Brazil Central and South America,"Food, beverages, sundries, equipment, organic fruits and vegetables, beauty and health foods, hygiene products, general foods, frozen foods, refrigerated foods, dairy products, pet shops, consumables, packaging, automation, technology, services and imports.",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/110534
2,Fenasan 2021 32nd AESabesp Technical Meeting,"September 14, 2021 - September 16, 2021",San Paulo(Sao Paulo) Brazil Central and South America,"Technological development and innovation, environmental education, Energy efficiencyBusiness and enterprise management, Legislation and regulation, Electromechanical maintenance, Environment, Climate changes, Products, materials and services, Water resources, Loss reduction, Solid waste and recycling, Rural sanitation and isolated communities, Public health, Water supply / systems / surface and groundwater treatment, Sewage collection / sewage and effluent treatment systems, Software and automation",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/119562
3,"AUTOMEC 15th International Autoparts, Equipment and Services Trade Show","November  9, 2021 - November 13, 2021",San Paulo(Sao Paulo) Brazil Central and South America,"Heavy/Light/Commercial vehicles, Parts, Accessories, Systems, Repair and Maintenance, Tools and Equipment, General Services etc.",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/107566
4,FEBRATEX Brazilian Fair for Textile Industry,"August 10, 2021 - August 13, 2021",Blumenau (SC) Brazil Central and South America,"Inputs, Chemicals, Fibers, Threads, Ironing, Packing, Looms, Finishing, Laundry, Cleaners, Tag, Press Shop, Cut, Seam, Embroidery, Goodwill",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/108425
5,Concrete Show 2021 The Cement and Concrete Trade Fair for the Construction Industry,"August 31, 2021 - September  2, 2021",San Paulo(Sao Paulo) Brazil Central and South America,"Molding accessories, Aggregates, Accessories and tools, Prefabricators, Shapes, Motar, Machines, Cement companies, Adjuvants, Concrete artefacts, Equipment and mixers, Concrete companies, Chemical additives, Coatings, Construction technologies, Decorative concrete",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/119489
6,Fenasucro Agrocana,"August 17, 2021 - August 20, 2021",Sertaozinho Brazil Central and South America,"Agriculture, industrial supplies, services, technology, machines and equipment for bioenergy production (sugar, ethanol and clean energy). Biomass, Transportation and logistic, Food and beverage, Biodiesel, Pulp and paper, and more.",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/119491
7,Expo Revestir 2021 ( To be held online in March 2021),"March 23, 2021 - March 26, 2021",San Paulo(Sao Paulo) Brazil Central and South America,"ceramic tile, ornamental stone, laminate, wood mosaic, sanitary ware, faucets, cement tiles, glass, machinery & equipment, architects, interior design, Raw Materials and Special Solutions.",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/110176
8,Glass South America 2021,"September  1, 2021 - September  4, 2021",San Paulo(Sao Paulo) Brazil Central and South America,"Design and Technology for the Glass Industry, Machinery, Equipment, Tools, Flat glass, Photovoltaic energy, Hardware and Accessories.",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/62153
9,MEDICAL FAIR BRASIL 2021,"May  4, 2021 - May  7, 2021",San Paulo(Sao Paulo) Brazil Central and South America,"ambulance and rescue, electromedicine and product technology, diagnostic equipment, hospital medical equipment, clinical analysis, laboratory equipment, facilities, physiotherapy, orthopedic technology and rehabilitation, home care, inputs and disposables, hospital furniture medical service and publications, information and communication technology, diagnostic tests",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/119117
