,EventName,Date,City/Country,Exhibits,URL
0,IHGF Delhi Fair 2021,"May 19, 2021 - May 23, 2021",Greater Noida India Asia,"HOME FURNISHINGS & MADEUPS, FURNITURE, FURNITURE HARDWARE & ACCESSORIES, FASHION JEWELLERY & ACCESSORIES, CHRISTMAS AND FESTIVE DECOR, HOUSEWARE",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/119572
1,Engiexpo Industrial Exhibition in Surat,"February 18, 2023 - February 20, 2023",Surat India Asia,"WEIGHING SCALE, WELDING / CUTTING / POWER TOOLS / SAFETY EQUIPMENT, MATERIAL HANDLING / CONSTRUCTION,  MACHINE TOOLS / AUTOMATION,  INFORMATION TECHNOLOGY / FINANCE,  ELECTRICALS / ELECTRONICS",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/119739
2,Engiexpo Industrial Exhibition in Ahmedabad,"December 17, 2022 - December 19, 2022",Ahmedabad India Asia,"WEIGHING SCALE, WELDING / CUTTING / POWER TOOLS / SAFETY EQUIPMENT, MATERIAL HANDLING / CONSTRUCTION,  MACHINE TOOLS / AUTOMATION,  INFORMATION TECHNOLOGY / FINANCE,  ELECTRICALS / ELECTRONICS",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/119738
3,Engiexpo Industrial Exhibition in Vadodara,"February 19, 2022 - February 21, 2022",Vadodara India Asia,"WEIGHING SCALE, WELDING / CUTTING / POWER TOOLS / SAFETY EQUIPMENT, MATERIAL HANDLING / CONSTRUCTION,  MACHINE TOOLS / AUTOMATION,  INFORMATION TECHNOLOGY / FINANCE,  ELECTRICALS / ELECTRONICS",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/119737
4,Engiexpo Industrial Exhibition in Rajkot,"December 19, 2021 - December 22, 2021",Rajkot India Asia,"Manufacturer, Suppliers, Traders, Dealers, Distributors, Service Providers, Wholesale trader",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/119735
5,SATTE 2021 South Asia's Leading Travel Show,"March 24, 2021 - March 26, 2021",Greater Noida India Asia,"Airport Authorities, Air Charter Companies, Airlines - Domestic and International, Car Rental Companies, Convention Centres, Cruise Liners, Educational Institutes, Golf Courses & Resorts, Hotels & Resorts, IT Companies, Medical Tourism, Spas and Wellness Centres, Sports Tourism Products, State Tourism Departments, National / International Tourism Organizations, Travel Agents, Tour Operators",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/109786
6,Secutech India 2021,"September 16, 2021 - September 18, 2021",Mumbai India Asia,"Surveillance camera, Access control, Intrusion alarm, Physical security and perimeter, Police equipment, Transmission, Management platform, Building automation / home automation, Security guard services, Personal safety, Active fire safety, Passive fire safety, Disaster prevention & rescue equipment, Industrial safety & environmental sanitation, Fire extinguishers, Fire pumps, Sprinklers, hoses and reels, Escape and evacuation equipment, Fire alarm equipment, Smoke exhaust, Public address systems, Emergency lights and signage, Fire rated doors and windows, Fire rolling doors and fire dampers, Fire retardant materials, Home cameras / surveillance, Smart locks, IoT sensors, Intercom systems (voice and video intercom), Voice control, Home alarms, Lighting control systems, Intruder detection",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/119627
7,@Home World Expo,"November 25, 2021 - November 27, 2021",Mumbai India Asia,"Decor, Decorative Furniture, Tableware & Glassware, Decorative Lighting, Wellness, Kitchenware",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/119619
8,productronica India 2021 International Trade Fair for Electronics Development and Production,"September 22, 2021 - September 24, 2021",Bangalore India Asia,"Semiconductors and display manufacturing, Photovoltaics production, production technologies for batteries and electrical energy storage, Micronano production, PCB and other circuit-carrier manufacturing, Component mount technology, Soldering technology and joining, Organic and printed electronics, Hybrid-component manufacturing, Coilware production, LED production and discrete devices, Technologies for cable processing and connectors, Materials processing (electronic and chemical), Manufacturing and process software, Test and measurement, quality assurance, Product finishing, Production logistics and material-flow technology, Production subsystems, Production materials/equipment, environmental technology and clean-room technology, Electronic Manufacturing Services (EMS)",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/119605
9,"IFAT India 2021 India's Leading Trade Fair for Water, Sewage, Solid waste and Recycling","September 28, 2021 - September 30, 2021",Mumbai India Asia,"Water extraction, water and sewage treatment, Water distribution and sewers, Refuse disposal and recycling, etc.",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/119607
10,"LASER World of PHOTONICS INDIA 2021 India's Platform for Laser and Optical Technologies Components, Systems and Applications","September 22, 2021 - September 24, 2021",Bangalore India Asia,"Laser and Optronics, Optics, Sensors Test and Measurement, Optical manufacturing technology, Laser production engineering, Laser Medical and bio technology, Imaging and Illumination, Security, Services.",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/119606
