,EventName,Date,City/Country,Exhibits,URL
0,Elmia Wood,"June  2, 2021 - June  4, 2021",Jonkoping Sweden Europe CIS,"forest machines and tools, logistics.",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/104723
1,"Water and Wastewater Fair 2021 ( Cancelled, to Mar , 2022)","April 27, 2021 - April 29, 2021",Jonkoping Sweden Europe CIS,"water treatment, distribution, IT, measurement, control and regulation technology, operation, maintenance, research, consultation",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/106488
2,Fastfood Cafe Restrant Expo (Formerly Fastfood Cafe Stockholm),"April 28, 2021 - April 29, 2021",Stockholm Sweden Europe CIS,"food and raw materials, beverages, machinery, equipment, packaging, digital signage, information technology solutions and furnishings.",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/106022
3,Water and Wastewater Fair 2022,"March 29, 2022 - March 31, 2022",Jonkoping Sweden Europe CIS,"water treatment, distribution, IT, measurement, control and regulation technology, operation, maintenance, research, consultation",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/119479
4,Allt for Sjon 2022 Stockholm International Boat Show,"March 11, 2022 - March 20, 2022",Stockholm Sweden Europe CIS,"Boats, Motors, Surfboards, Accessories, Tourism, Services, Canoes, Rubber Boats, Equipment, Dinghies, Boat charter, Sailmakers.",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/119281
5,Antikmassan 2022,"February 17, 2022 - February 20, 2022",Stockholm Sweden Europe CIS,"furniture, art, interior, silverware, clothes and more in the categories of antiques, vintage, modern design, fine arts and collectibles.",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/119134
6,Stockholm Furniture Light Fair 2022,"February  8, 2022 - February 12, 2022",Stockholm Sweden Europe CIS,"Scandinavian furniture, office, design, textile, bathroom, kitchen, lighting, lighting technology and other interior designs for both the home and public environment.",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/119133
7,Batmassan 2022,"February  5, 2022 - February 13, 2022",Gothenburg(Goteborg) Sweden Europe CIS,"boats, accessories and equipment",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/119131
8,FORMEX,"August 24, 2021 - August 27, 2021",Stockholm Sweden Europe CIS,"glass and porcelain, kitchenware, table and kitchen textiles, bar and drink accessories, knives, baking, ceramics, cutlery, bowls, food crafts and gourmet gifts, interior concepts, home design and crafts with Scandinavian expression in focus, interior, home decorations, textiles, small furniture and lifestyle products, toys, children's clothing, designer gifts, carefully selected items and smart objects, products for children, handicrafts, souvenirs, fashion, accessories, lifestyle products, interior design products, room fragrances, soaps, materials that appeal to the senses, tools, interior design products that create atmosphere, plants, pots, flower arranging accessories, paper and packaging, cards, etc.",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/110616
9,Persontrafik 2022,"October 25, 2022 - October 27, 2022",Stockholm Sweden Europe CIS,"public transport;  bus, train and taxi industry, vehicles, technology, environment, safety, service, electric vehicles, hybrids and smart eco-solutions.",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/110547
10,Elmia Subcontractor 2021,"November  9, 2021 - November 12, 2021",Jonkoping Sweden Europe CIS,"Manufacturing method, products and components, Material, raw material and semi-finished products, design and development, Tools and fixtures, Organizations & services.",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/110347
11,Elmia Polymer,"May 10, 2022 - May 13, 2022",Jonkoping Sweden Europe CIS,"Machines and production equipment for plastics and rubber manufacturing, raw material plastics and rubber, prototyping and additive manufacturing.",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/110077
12,Scanautomatic 2021,"October  4, 2021 - October  6, 2021",Gothenburg(Goteborg) Sweden Europe CIS,"CAD - Electrical and Mechanical, Control & Regulating technology, Effective use of energy, Hydraulics, Industrial automation and Process automation, Industrial environmental technology, Innovations, Instrumentation, Testing & Measuring technology, Packaging, Pneumatics, Robots, etc.",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/109805
13,Elmia Husvagn Husbil 2021 Scandinavian Caravan Show,"September  8, 2021 - September 12, 2021",Jonkoping Sweden Europe CIS,"Caravans, Motor Homes, Camping Equipment and Accessories.",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/109506
14,Scanpack,"October 26, 2021 - October 29, 2021",Gothenburg(Goteborg) Sweden Europe CIS,"Packaging Machinery and Equipment, Packaging Materials, Systems(Machinery and Materials), Raw Material, Regulating and Control Equipment, Internal Handling Systems, Contract Packaging, Transport Packs, Consumer Packs, Computer Controlled Equipment, Dosing Equipment, Labelling and Marking Equipment.",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/105518
